timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764253830436,415,Dog page,200,,Thread Group 1 1-280,text,true,,4991,178,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,211,0,0
1764253830650,232,SignUp Page,200,,Thread Group 1 1-187,text,true,,6575,164,29,29,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,232,0,0
1764253829598,1295,Cats Page,200,,Thread Group 1 1-292,text,true,,4265,178,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,1086,0,0
1764253830655,240,Fish Page,200,,Thread Group 1 1-301,text,true,,4619,178,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,240,0,0
1764253830526,391,Cats Page,200,,Thread Group 1 1-267,text,true,,4265,178,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,200,0,0
1764253830666,257,Reptiles Page,200,,Thread Group 1 1-298,text,true,,4271,182,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,257,0,0
1764253830728,246,Birds Page,200,,Thread Group 1 1-297,text,true,,4269,179,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS,246,0,0
1764253830785,191,Reptiles Page,200,,Thread Group 1 1-300,text,true,,4271,182,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,191,0,0
1764253828983,2000,Dog page,200,,Thread Group 1 1-290,text,true,,4991,178,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,1743,0,0
1764253830611,384,SignUp Page,200,,Thread Group 1 1-274,text,true,,6571,164,30,30,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,194,0,0
1764253830882,211,Cart Page,200,,Thread Group 1 1-187,text,true,,4797,155,30,30,https://petstore.octoperf.com/actions/Cart.action?viewCart=,211,0,0
1764253830893,212,Birds Page,200,,Thread Group 1 1-292,text,true,,4269,179,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS,212,0,0
1764253830917,194,Birds Page,200,,Thread Group 1 1-267,text,true,,4269,179,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS,193,0,0
1764253830896,242,Dog page,200,,Thread Group 1 1-301,text,true,,4991,178,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,242,0,0
1764253830197,949,Home,200,,Thread Group 1 1-303,text,true,,5664,148,29,29,https://petstore.octoperf.com/actions/Catalog.action,948,0,739
1764253830977,193,Cats Page,200,,Thread Group 1 1-300,text,true,,4265,178,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,192,0,0
1764253830923,263,Cats Page,200,,Thread Group 1 1-298,text,true,,4265,178,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,263,0,0
1764253829932,1254,SignIn page,200,,Thread Group 1 1-288,text,true,,4656,160,29,29,https://petstore.octoperf.com/actions/Account.action?signonForm=,1066,0,0
1764253830996,191,Cart Page,200,,Thread Group 1 1-274,text,true,,4797,155,29,29,https://petstore.octoperf.com/actions/Cart.action?viewCart=,191,0,0
1764253830312,875,Fish Page,200,,Thread Group 1 1-299,text,true,,4619,178,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,875,0,0
1764253828801,2398,Home,200,,Thread Group 1 1-296,text,true,,5664,148,29,29,https://petstore.octoperf.com/actions/Catalog.action,1519,0,735
1764253830974,242,SignIn page,200,,Thread Group 1 1-297,text,true,,4656,160,29,29,https://petstore.octoperf.com/actions/Account.action?signonForm=,242,0,0
1764253830048,1175,Cats Page,200,,Thread Group 1 1-295,text,true,,4265,178,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,987,0,0
1764253830983,263,Reptiles Page,200,,Thread Group 1 1-290,text,true,,4271,182,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,263,0,0
1764253829997,1258,Home,200,,Thread Group 1 1-302,text,true,,5664,148,29,29,https://petstore.octoperf.com/actions/Catalog.action,956,0,716
1764253830852,406,Reptiles Page,200,,Thread Group 1 1-280,text,true,,4271,182,29,29,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,207,0,0
