timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764253551444,276,Birds Page,200,,Thread Group 1 1-80,text,true,,4269,179,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS,276,0,0
1764253551460,304,Cart Page,200,,Thread Group 1 1-78,text,true,,4797,155,6,6,https://petstore.octoperf.com/actions/Cart.action?viewCart=,304,0,0
1764253550604,1187,Home,200,,Thread Group 1 1-82,text,true,,5664,148,5,5,https://petstore.octoperf.com/actions/Catalog.action,1187,0,883
1764253551624,263,Fish Page,200,,Thread Group 1 1-81,text,true,,4619,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,263,0,0
1764253551721,278,SignIn page,200,,Thread Group 1 1-80,text,true,,4652,160,5,5,https://petstore.octoperf.com/actions/Account.action?signonForm=,278,0,0
1764253551792,300,Fish Page,200,,Thread Group 1 1-82,text,true,,4619,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,300,0,0
1764253551888,266,Dog page,200,,Thread Group 1 1-81,text,true,,4991,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,266,0,0
1764253552000,275,SignUp Page,200,,Thread Group 1 1-80,text,true,,6571,164,5,5,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,274,0,0
1764253552093,281,Dog page,200,,Thread Group 1 1-82,text,true,,4991,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,280,0,0
1764253552155,248,Reptiles Page,200,,Thread Group 1 1-81,text,true,,4271,182,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,248,0,0
1764253552275,269,Cart Page,200,,Thread Group 1 1-80,text,true,,4797,155,5,5,https://petstore.octoperf.com/actions/Cart.action?viewCart=,269,0,0
1764253552374,287,Reptiles Page,200,,Thread Group 1 1-82,text,true,,4271,182,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,287,0,0
1764253552404,274,Cats Page,200,,Thread Group 1 1-81,text,true,,4265,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,274,0,0
1764253551608,1183,Home,200,,Thread Group 1 1-83,text,true,,5664,148,5,5,https://petstore.octoperf.com/actions/Catalog.action,1183,0,885
1764253552679,275,Birds Page,200,,Thread Group 1 1-81,text,true,,4269,179,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS,275,0,0
1764253552661,293,Cats Page,200,,Thread Group 1 1-82,text,true,,4265,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,293,0,0
1764253552792,318,Fish Page,200,,Thread Group 1 1-83,text,true,,4619,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,318,0,0
1764253552954,288,SignIn page,200,,Thread Group 1 1-81,text,true,,4654,160,5,5,https://petstore.octoperf.com/actions/Account.action?signonForm=,288,0,0
1764253552954,306,Birds Page,200,,Thread Group 1 1-82,text,true,,4269,179,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS,306,0,0
1764253553110,333,Dog page,200,,Thread Group 1 1-83,text,true,,4991,178,5,5,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,333,0,0
1764253553243,284,SignUp Page,200,,Thread Group 1 1-81,text,true,,6575,164,5,5,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,284,0,0
1764253547623,6053,Home,200,,Thread Group 1 1-79,text,true,,5664,148,6,6,https://petstore.octoperf.com/actions/Catalog.action,5788,0,5225
1764253553444,301,Reptiles Page,200,,Thread Group 1 1-83,text,true,,4271,182,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,301,0,0
1764253553746,282,Cats Page,200,,Thread Group 1 1-83,text,true,,4265,178,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,282,0,0
1764253553677,545,Fish Page,200,,Thread Group 1 1-79,text,true,,4619,178,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,272,0,0
1764253554029,273,Birds Page,200,,Thread Group 1 1-83,text,true,,4269,179,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS,273,0,0
1764253553261,1228,SignIn page,200,,Thread Group 1 1-82,text,true,,4656,160,6,6,https://petstore.octoperf.com/actions/Account.action?signonForm=,1228,0,0
1764253554303,273,SignIn page,200,,Thread Group 1 1-83,text,true,,4656,160,6,6,https://petstore.octoperf.com/actions/Account.action?signonForm=,273,0,0
1764253554223,563,Dog page,200,,Thread Group 1 1-79,text,true,,4991,178,7,7,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS,277,0,0
1764253554577,286,SignUp Page,200,,Thread Group 1 1-83,text,true,,6573,164,7,7,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,285,0,0
1764253554489,629,SignUp Page,200,,Thread Group 1 1-82,text,true,,6571,164,7,7,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,629,0,0
1764253554864,291,Cart Page,200,,Thread Group 1 1-83,text,true,,4797,155,7,7,https://petstore.octoperf.com/actions/Cart.action?viewCart=,291,0,0
1764253554787,556,Reptiles Page,200,,Thread Group 1 1-79,text,true,,4271,182,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=REPTILES,288,0,0
1764253555118,301,Cart Page,200,,Thread Group 1 1-82,text,true,,4797,155,6,6,https://petstore.octoperf.com/actions/Cart.action?viewCart=,301,0,0
1764253555342,273,Cats Page,200,,Thread Group 1 1-79,text,true,,4265,178,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,273,0,0
1764253555616,286,Birds Page,200,,Thread Group 1 1-79,text,true,,4269,179,6,6,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS,286,0,0
